Category,Question,Answer
,154. What is routing in Express?,"Routing refers to how an application's endpoints (URIs) respond to client requests. It involves defining routes that match specific HTTP methods (GET, POST, etc.) and URL patterns."
,155. How do you define a route in Express?,"You define a route using methods on the app object that correspond to HTTP verbs, like app.get(), app.post(), etc. The method takes a path as the first argument and a callback function (the route handler) as the second."
,156. What are route parameters?,"Route parameters are named URL segments used to capture values at specific positions in the URL. They are prefixed with a colon (:). For a route like /users/:userId, the userId can be accessed via req.params.userId."
,157. How do you handle GET and POST requests in Express?,"You use app.get('/path', handler) for GET requests and app.post('/path', handler) for POST requests. The handler function receives req and res objects to process the request and send a response."
,158. What is middleware in Express?,"Middleware functions are functions that have access to the request object (req), the response object (res), and the next function in the application's request-response cycle. They can execute code, make changes to the request and response objects, end the request-response cycle, or call the next middleware in the stack."
,159. What are the req and res objects in Express?,"req (request) is an object containing information about the incoming HTTP request, such as headers, parameters, body, and URL. res (response) is an object used to send an HTTP response back to the client, for example, by setting headers and sending data."
,160. What is the next() function in middleware?,"The next() function is a function in the Express router which, when invoked, executes the next middleware in the stack. If the current middleware function does not end the request-response cycle, it must call next() to pass control to the next middleware function."
,161. What are the different types of middleware?,"Types include: Application-level middleware (bound to app.use() or app.METHOD()), Router-level middleware (bound to an instance of express.Router()), Error-handling middleware (has four arguments: (err, req, res, next)), Built-in middleware (like express.json(), express.static()), and Third-party middleware (installed via npm, e.g., cors, helmet)."
,162. How do you serve static files in Express?,"You use the built-in express.static middleware. For example, app.use(express.static('public')) will serve files from the public directory. If you place an index.html file in public, it will be served for the root URL."
,163. How do you render templates in Express?,"You first set a template engine (e.g., EJS or Pug) using app.set('view engine', 'ejs'). Then, in a route handler, you use the res.render() method, passing the name of the view file and an object with data to be rendered."
,164. What is the purpose of app.use()?,"app.use() is used to mount middleware functions at a specified path. If no path is specified, the middleware is executed for every request to the app. It's used for tasks that apply globally, like logging, parsing request bodies, or serving static files."
,165. Explain the order of middleware execution in Express.,"Middleware functions are executed sequentially in the order they are defined in your code. The order is crucial, as a middleware defined earlier can prevent later middleware from running if it ends the request-response cycle."
,166. How do you create custom middleware?,"You create a function that accepts req, res, and next as arguments. Inside the function, you perform your desired logic and then call next() to pass control to the next middleware, unless you are sending a response to end the cycle."
,167. What is error-handling middleware in Express?,"Error-handling middleware is a special type of middleware defined with four arguments: (err, req, res, next). It must be defined after all other app.use() and routes calls. It's used to catch and process errors that occur in your application."
,168. How do you use a router to organize your routes?,"You can use express.Router() to create modular, mountable route handlers. You can define routes on the router object, apply middleware to it, and then mount the router on a path in your main application file using app.use('/path', router). This helps keep your route-related code organized."
,169. What is the difference between app.use() and app.get()?,"app.get('/path', ...) only handles GET requests to the exact specified path. app.use('/path', ...) handles all HTTP methods (GET, POST, etc.) for any path that begins with /path. app.use() is for mounting middleware, while app.get() is for defining a specific route handler."
,170. How can you get query parameters from a URL in Express?,"Query parameters (the part of the URL after ?) are available in the req.query object. For a URL like /search?q=nodejs, req.query.q would be ""nodejs""."
,171. How do you handle form data in Express?,"To handle URL-encoded form data (from a standard HTML form submission), you use the express.urlencoded({ extended: true }) middleware. To handle JSON data, you use the express.json() middleware. The parsed data will be available on req.body."
,"172. Explain the purpose of req.params, req.query, and req.body.","req.params: An object containing route parameters. For /users/:id, the id is in req.params. req.query: An object containing the URL query string parameters. For /search?q=hello, the query is in req.query. req.body: An object containing the parsed request body, typically from POST or PUT requests. Requires middleware like express.json() to be populated."
,173. What is the purpose of the express.json() and express.urlencoded() middleware?,express.json() is a built-in middleware that parses incoming requests with JSON payloads. express.urlencoded() is a built-in middleware that parses incoming requests with URL-encoded payloads (often from HTML forms). Both populate the req.body object.
,174. How do you set response headers in Express?,"You can use the res.set('Header-Name', 'Header-Value') method or res.header('Header-Name', 'Header-Value'). You can also chain them. Methods like res.json() or res.send() often set headers like Content-Type automatically."
,"175. What is the difference between res.send(), res.json(), and res.end()?","res.send(body): A versatile method that can send various types of responses (string, buffer, object, array). It sets the Content-Type header appropriately and ends the response. res.json(body): Sends a JSON response. It converts the object/array to a JSON string and sets the Content-Type header to application/json. res.end(): Ends the response process without sending any data. It's used when no response body is needed."
,176. How do you handle cookies and sessions in Express?,"Cookies are handled using third-party middleware like cookie-parser. Sessions are typically handled with middleware like express-session, which uses cookies to store a session ID and keeps session data on the server side (in memory, a database, or a cache like Redis)."
,177. How can you secure an Express application?,Use middleware like helmet to set various security-related HTTP headers. Sanitize and validate user input to prevent injection attacks. Use HTTPS. Implement proper authentication and authorization. Manage dependencies and audit for vulnerabilities with npm audit.
,178. What is the purpose of a template engine like EJS or Pug?,"A template engine allows you to use static template files in your application. At runtime, the template engine replaces variables in a template file with actual values and transforms the template into an HTML file sent to the client. This allows for dynamic generation of web pages."
IX. Databases,179. How do you connect a Node.js application to a database like MongoDB or PostgreSQL?,"You use a database driver or library specific to that database. For MongoDB, you'd use the mongodb driver or an ODM like Mongoose. For PostgreSQL, you'd use the pg driver or an ORM like Sequelize. You typically provide a connection string with credentials to the library's connect method."
,180. What is an ODM (Object-Document Mapper) and an ORM (Object-Relational Mapper)?,An ODM maps data between objects in your application code and documents in a NoSQL database like MongoDB. An ORM maps data between objects and tables in a relational database (SQL) like PostgreSQL. Both provide a higher-level abstraction for interacting with the database.
,181. What is Mongoose and why is it used with MongoDB?,"Mongoose is an elegant ODM for MongoDB and Node.js. It's used because it provides schema validation, casting, query building, middleware (hooks), and business logic hooks, which makes managing data and interacting with MongoDB easier and more structured than using the native driver alone."
,182. How do you define a schema and model in Mongoose?,"A Schema is defined using new mongoose.Schema({ ... }). It defines the structure of the documents, default values, and validators. A Model is a constructor compiled from a Schema definition. An instance of a model represents a document that can be saved to the database. It's created with mongoose.model('ModelName', schema)."
,"183. How do you perform CRUD (Create, Read, Update, Delete) operations with Mongoose?","Create: const doc = new Model(data); await doc.save(); or Model.create(data). Read: Model.find({}), Model.findOne({_id: ...}), Model.findById(...). Update: Model.updateOne({_id: ...}, { $set: { ... } }), Model.findByIdAndUpdate(...). Delete: Model.deleteOne({_id: ...}), Model.findByIdAndRemove(...)."
,184. What is Sequelize and what is it used for?,"Sequelize is a popular Promise-based Node.js ORM for relational databases like PostgreSQL, MySQL, MariaDB, SQLite, and Microsoft SQL Server. It is used to simplify database interactions by allowing developers to work with JavaScript objects instead of writing raw SQL queries."
,185. Explain how to perform a query using Sequelize.,"After defining a model (which maps to a table), you can use model methods to perform queries. For example: User.findAll(), User.findOne({ where: { name: 'John' } }), User.create({ name: 'Jane' }), User.update({ status: 'active' }, { where: { id: 1 } }), User.destroy({ where: { id: 1 } })."
,186. What is connection pooling and why is it important?,Connection pooling is the practice of creating and maintaining a cache of database connections that can be reused for future requests. It is important because establishing a new database connection for every request is a slow and resource-intensive process. Pooling significantly improves application performance and scalability.
,187. How do you handle database connection errors?,"You should listen for error events on the connection object provided by the database driver. It's also crucial to implement a retry mechanism with exponential backoff for initial connection failures. For errors during a query, you should use try...catch blocks with async/await or .catch() with Promises."
,188. What are database transactions and how do you implement them in Node.js?,"A transaction is a sequence of operations performed as a single logical unit of work. All operations must succeed; otherwise, the entire transaction is rolled back. In Node.js, libraries like Sequelize and Mongoose provide session/transaction management methods (e.g., sequelize.transaction(), mongoose.startSession())."
,189. How can you prevent SQL injection attacks?,"Use an ORM/ODM like Sequelize or Mongoose, which automatically sanitizes inputs. If writing raw SQL, always use parameterized queries (prepared statements) instead of concatenating user input directly into query strings. This ensures that user input is treated as data, not as executable code."
,190. What are some best practices for interacting with databases in a Node.js application?,"Use connection pooling. Separate database logic from business logic (e.g., using a repository pattern). Sanitize all user input to prevent injection attacks. Use an ORM/ODM to abstract database interactions. Add indexes to frequently queried fields. Close database connections gracefully when the application shuts down."
X. Testing,191. Why is testing important for Node.js applications?,"Testing is important to ensure code correctness, prevent regressions (bugs in existing features), facilitate refactoring, and document the behavior of the application. It increases confidence in the stability and quality of the codebase."
,"192. What are the different types of testing (unit, integration, end-to-end)?","Unit Testing: Tests individual functions or components in isolation. Integration Testing: Tests how multiple components work together. End-to-End (E2E) Testing: Tests the entire application flow from the user's perspective, simulating real user scenarios."
,"193. What are some popular testing frameworks for Node.js? (e.g., Mocha, Jest, Chai)","Jest: A popular, all-in-one testing framework developed by Facebook. It includes a test runner, assertion library, and mocking capabilities. Mocha: A flexible and feature-rich test framework that provides a test runner. It's often paired with an assertion library like Chai. Chai: An assertion library that provides expressive and readable syntax for checking test outcomes (e.g., expect(foo).to.be.a('string'))."
,194. What is the purpose of an assertion library like Chai?,"An assertion library provides functions to verify that test outcomes are correct. It allows you to write claims about your code's behavior (e.g., ""I expect this variable to equal 5""). If an assertion fails, it throws an error, causing the test to fail."
,195. How do you write a simple unit test for a function?,"You import the function to be tested, describe the test suite using describe(), define a specific test case using it() or test(), call the function with sample input, and then use an assertion library to check if the function's actual output matches the expected output."
,196. What is a test runner?,"A test runner is a tool that finds and executes your test files, and then reports the results. Frameworks like Jest and Mocha are test runners. They provide the structure (describe, it) and the command-line interface to run the tests."
,197. How do you test asynchronous code?,"Testing frameworks provide mechanisms for async code. With callbacks, you use a done argument and call it when the async operation is complete. With Promises, you return the promise from the test function. With async/await, you simply declare the test function as async and use await inside it."
,"198. What are mocks, stubs, and spies?","Mocks: Objects that mimic the behavior of real objects in controlled ways. Stubs: Functions that replace existing functions and return predefined values. Used to control the behavior of dependencies. Spies: Functions that wrap existing functions to record information, such as how many times they were called and with what arguments, without changing the original function's behavior."
,199. What is Sinon.JS and what is it used for?,"Sinon.JS is a popular standalone library for creating spies, stubs, and mocks in JavaScript. It is framework-agnostic and is often used alongside test runners like Mocha to test interactions and control dependencies."
,200. How do you test an Express API endpoint?,"You use a library like supertest, which allows you to make HTTP requests to your Express app without needing to run it on a live server. You can then make assertions about the response status code, headers, and body."
,201. What is code coverage and why is it useful?,"Code coverage is a metric that measures the percentage of your codebase that is executed during your automated tests. It is useful for identifying untested parts of your application, but a high percentage does not guarantee the quality of the tests themselves."
,202. What are some tools for measuring code coverage?,"Jest has built-in code coverage support using istanbul. For other frameworks like Mocha, you can use tools like nyc (the command-line interface for istanbul) to generate coverage reports."
,203. What is Test-Driven Development (TDD)?,TDD is a software development process where you write a failing test case before you write the production code to make it pass. The cycle is: 1. Red: Write a test that fails. 2. Green: Write the minimal code needed to make the test pass. 3. Refactor: Improve the code without changing its behavior.
,204. What is Behavior-Driven Development (BDD)?,"BDD is an extension of TDD that focuses on describing the application's behavior from the user's perspective. It uses a natural language syntax (e.g., ""Given-When-Then"") to define test cases, which makes tests more understandable to non-technical stakeholders. Mocha and Chai's BDD syntax (describe, it, expect) are examples of BDD-style testing."
XI. Security,205. What are some common security vulnerabilities in Node.js applications?,"Common vulnerabilities include Cross-Site Scripting (XSS), SQL/NoSQL Injection, Cross-Site Request Forgery (CSRF), insecure direct object references, security misconfigurations, and using components with known vulnerabilities."
,206. How can you prevent Cross-Site Scripting (XSS) attacks?,"Prevent XSS by validating and sanitizing all user input and by encoding output displayed on a page. Libraries like helmet can set security headers (e.g., Content-Security-Policy) to mitigate XSS risks."
,207. How can you prevent Cross-Site Request Forgery (CSRF) attacks?,"CSRF is prevented by using anti-CSRF tokens. A unique, secret token is generated for each user session and embedded in forms. The server validates this token on subsequent requests to ensure they are legitimate. Libraries like csurf can be used in Express."
,208. What is a CSRF token?,"A CSRF token is a unique, secret, and unpredictable value that a server-side application generates and sends to the client. The client includes this token with every subsequent state-changing request. The server validates the token to ensure the request came from the original application, not a malicious site."
,209. How can you prevent NoSQL injection attacks?,Avoid building queries by concatenating strings with user input. Use an ODM like Mongoose which has built-in protection. Sanitize and validate user-supplied data to ensure it conforms to the expected schema and type.
,210. What is authentication vs. authorization?,"Authentication is the process of verifying who a user is (e.g., with a username and password). Authorization is the process of determining what an authenticated user is allowed to do (e.g., granting admin access). Authentication comes before authorization."
,211. How do you implement authentication in a Node.js application?,"Authentication is typically implemented using either session-based authentication (where a session ID is stored in a cookie) or token-based authentication (like JSON Web Tokens), often with the help of libraries like Passport.js. Password hashing with libraries like bcrypt is crucial."
,212. What are JSON Web Tokens (JWT) and how do they work?,"JWTs are compact, self-contained tokens for securely transmitting information between parties as a JSON object. The server generates a JWT upon successful login, signs it with a secret key, and sends it to the client. The client then includes this JWT in the header of subsequent requests. The server can verify the token's signature to authenticate the request without needing to access a database."
,213. What are the components of a JWT?,"A JWT consists of three parts separated by dots (.): 1. Header: Contains the token type (JWT) and the signing algorithm used. 2. Payload: Contains the claims (data) about the user, like user ID and expiration time. 3. Signature: A cryptographic signature created using the encoded header, encoded payload, and a secret key."
,214. How do you securely store passwords in a database?,"Passwords should never be stored in plain text. They must be hashed using a strong, slow, and salted hashing algorithm. Salting involves adding a random string to each password before hashing to ensure that identical passwords have different hashes."
,215. What is bcrypt?,"bcrypt is a popular and highly secure password-hashing function. It is designed to be slow, which makes it resistant to brute-force attacks. It automatically handles the generation and inclusion of a salt within the final hash string."
,216. What is the purpose of the helmet middleware in Express?,"helmet is a collection of 15 smaller middleware functions that set various HTTP headers to help secure your Express application. It helps protect against common attacks like XSS, clickjacking, and other well-known vulnerabilities by configuring headers like Content-Security-Policy and X-Frame-Options."
,217. How can you prevent insecure direct object references?,"Prevent this by implementing proper authorization checks. Before allowing access to a resource (like a user profile or document), verify that the currently authenticated user has the permission to access that specific resource, instead of just relying on the ID provided by the client."
,218. What is rate limiting and how can you implement it?,"Rate limiting restricts how many times a user can perform an action in a given time frame (e.g., limiting login attempts). It helps prevent brute-force attacks and DoS attacks. In Node.js, it can be implemented using middleware like express-rate-limit or by using a tool like Redis."
,219. Why is it important to keep your dependencies up to date?,Dependencies can have security vulnerabilities that attackers can exploit. Keeping them up to date ensures you have the latest security patches. It's a critical part of application security maintenance.
,220. What is npm audit?,"npm audit is a command that scans your project's dependencies for known security vulnerabilities. It provides a report of the vulnerabilities found and, in many cases, can automatically fix them by updating packages to a secure version with npm audit fix."
XII. Performance and Optimization,221. How can you profile a Node.js application to identify performance bottlenecks?,"You can use Node.js's built-in profiler (node --prof), which generates a tick file that can be processed to identify CPU-intensive functions. Tools like Chrome DevTools can also be connected to a running Node.js process for profiling CPU and memory usage."
,222. What are some tools for profiling Node.js applications?,"Built-in Profiler: node --prof. Chrome DevTools: Connects to the Node.js inspector. Clinic.js: A suite of tools (Doctor, Bubbleprof, Flame) that helps diagnose performance issues. External APM tools: New Relic, Datadog, Dynatrace."
,223. How can you identify and fix memory leaks in a Node.js application?,"Memory leaks can be identified by taking heap snapshots of the application at different times and comparing them to see which objects are growing in number without being garbage collected. Tools like Chrome DevTools are excellent for taking and analyzing heap snapshots. Fixing them involves finding the code that is unintentionally holding references to objects, preventing them from being collected."
,224. What are heap snapshots and how can they be used to debug memory issues?,"A heap snapshot is a ""photograph"" of the memory heap at a specific point in time, showing all objects and their references. By comparing two snapshots, you can identify objects that were allocated but not released, which points to a potential memory leak."
,225. Explain how to use the clinic.js suite of tools.,"Clinic.js is used to diagnose performance issues. You run your app via one of its tools (e.g., clinic doctor -- node server.js). clinic doctor detects the type of issue (I/O, CPU, memory). clinic bubbleprof visualizes async operations. clinic flame creates flame graphs to pinpoint CPU bottlenecks."
,226. How can you optimize CPU-bound tasks in a single-threaded Node.js application?,"Since CPU-bound tasks block the event loop, they should be moved out of the main thread. This can be done using worker threads, the child_process module to spawn a separate process, or by offloading the task to a dedicated background job queue system."
,227. What are worker threads and when should you use them?,"The worker_threads module allows you to run JavaScript code in parallel on separate threads. You should use them for CPU-intensive tasks like complex calculations, image processing, or cryptography, as they prevent blocking the main event loop. They are not ideal for I/O-bound work, as Node.js's native async I/O is more efficient for that."
,228. How do worker threads differ from the cluster module?,"Cluster is for creating multiple processes to handle I/O-bound workloads (like an HTTP server), where each process has its own event loop and memory. Worker threads are for running CPU-bound code in parallel within a single process, sharing memory through mechanisms like SharedArrayBuffer."
,229. What is caching and what are some common caching strategies?,"Caching is the process of storing copies of data in a temporary storage location (a cache) so that future requests for that data can be served faster. Common strategies include in-memory caching, distributed caching (e.g., Redis, Memcached), and client-side (browser) caching."
,"230. How can you implement caching in a Node.js application (e.g., using Redis)?","You can use an in-memory cache with a simple JavaScript Map or a library like node-cache. For a distributed cache, you would use a client library like redis or ioredis to connect to a Redis server. Before making an expensive call (e.g., to a database), you check if the result is in the cache. If so, you return the cached data; otherwise, you perform the operation and store the result in the cache for next time."
,231. How can you optimize database queries?,"Optimization techniques include: adding indexes to frequently queried fields, selecting only the columns you need (SELECT col1, col2 instead of SELECT *), using database connection pooling, analyzing query performance with tools like EXPLAIN, and caching frequent query results."
,232. What is latency and how can you reduce it in a Node.js application?,"Latency is the time delay between a cause and effect. In networking, it's the time it takes for a data packet to travel from one point to another. You can reduce it by using a Content Delivery Network (CDN) to serve assets closer to users, optimizing database queries, using caching, and scaling your application horizontally to handle more load."
,"233. How does garbage collection work in V8, and how can it impact performance?","V8's garbage collector (GC) reclaims memory used by objects that are no longer needed. It uses a generational approach with two main phases: a fast ""scavenge"" for the ""young generation"" (new objects) and a slower ""mark-sweep-compact"" for the ""old generation"" (long-surviving objects). GC can cause performance issues because it pauses JavaScript execution (""stop-the-world"" events), which can lead to noticeable delays or ""jank."""
,234. What is code JIT-compilation in V8?,"Just-In-Time (JIT) compilation is a technique used by V8 to improve performance. It starts by interpreting JavaScript code, but if a piece of code is executed frequently (""hot""), V8 compiles it into highly optimized machine code at runtime. This makes subsequent executions of that code much faster."
,235. How can you optimize the startup time of a Node.js application?,Minimize the number of dependencies loaded on startup. Use lazy loading for modules that are not immediately needed. Consider using module bundlers for backend applications in some cases to reduce file I/O. Avoid performing long synchronous operations in the main module.
,236. What is the impact of large JSON payloads on performance?,"Parsing large JSON payloads using JSON.parse() is a synchronous and CPU-intensive operation that can block the event loop, making the application unresponsive. It's better to stream and process large JSON files if possible using libraries like JSONStream."
,237. How can you use load balancing to improve performance?,"A load balancer distributes incoming network traffic across multiple servers (or Node.js processes). This improves performance by preventing any single server from becoming a bottleneck, increasing application capacity, and improving reliability."
,238. What is the event loop lag and how can you monitor it?,"Event loop lag is the delay between when a task is scheduled to run (e.g., with setTimeout) and when it actually executes. It's a key indicator of how ""busy"" the event loop is. A high lag means the loop is being blocked by long-running synchronous code. You can monitor it using libraries like event-loop-lag or APM tools."
,239. How can you benchmark your Node.js application?,"You can use command-line tools like autocannon or wrk to send a high volume of HTTP requests to your application and measure its performance (requests/sec, latency). For specific functions, you can use libraries like benchmark.js."
,240. What are some best practices for writing performant Node.js code?,"Embrace asynchronicity for all I/O operations. Avoid synchronous, blocking calls in the main thread. Use streams for large data sets. Use caching where appropriate. Optimize database queries. Offload CPU-intensive tasks to worker threads. Use a process manager like PM2 in cluster mode."
XIII. Architectural Patterns,241. What is a monolithic architecture? What are its pros and cons?,"A monolithic architecture is one where the entire application is built as a single, tightly coupled unit. Pros: Simple to develop, test, and deploy initially. Cons: Becomes difficult to scale, maintain, and update as it grows. A bug in one module can bring down the entire application."
,242. What is a microservices architecture? What are its pros and cons?,"A microservices architecture structures an application as a collection of small, independent, and loosely coupled services. Pros: Services can be developed, deployed, and scaled independently. Improved fault isolation. Technology flexibility. Cons: Increased complexity in deployment, monitoring, and managing communication between services."
,243. How would you design a RESTful API?,"I would design it by defining resources (e.g., users, products), using nouns in URLs (e.g., /users, /products/:id), using HTTP methods correctly (GET, POST, PUT, DELETE), using HTTP status codes to indicate outcomes (200, 201, 404, 500), and using JSON as the data format. Versioning (e.g., /api/v1/...) is also important."
,244. What are the principles of REST?,REST (REpresentational State Transfer) is an architectural style with key constraints: 1. Client-Server: Separation of concerns. 2. Stateless: Each request from a client must contain all the information needed to understand and complete the request. 3. Cacheable: Responses must define themselves as cacheable or not. 4. Layered System: A client cannot ordinarily tell whether it is connected directly to the end server or to an intermediary. 5. Uniform Interface: A common interface between client and server simplifies and decouples the architecture.
,245. What is GraphQL and how does it differ from REST?,"GraphQL is a query language for APIs and a runtime for fulfilling those queries. The main difference is that with GraphQL, the client specifies exactly what data it needs, and the server returns only that data in a single request. With REST, the server defines the structure of the response, often leading to over-fetching (getting more data than needed) or under-fetching (requiring multiple requests)."
,246. What are the benefits of using GraphQL?,"Benefits include: no over-fetching or under-fetching, a single endpoint for all queries, a strongly typed schema that serves as documentation, and the ability for clients to evolve without requiring server-side changes."
,247. What is a serverless architecture?,"Serverless architecture (or Function-as-a-Service, FaaS) is a cloud computing model where the cloud provider manages the server infrastructure and automatically allocates resources. You write and deploy code in the form of functions, which are executed in response to events. You only pay for the execution time."
,"248. What are some popular serverless platforms for Node.js (e.g., AWS Lambda, Google Cloud Functions)?","Popular serverless platforms for Node.js include AWS Lambda, Google Cloud Functions, Azure Functions, and Vercel."
,249. What is the Model-View-Controller (MVC) pattern?,"MVC is an architectural pattern that separates an application into three interconnected components: Model (manages data and business logic), View (handles the presentation and user interface), and Controller (receives user input and orchestrates interactions between the Model and the View)."
,250. How can you implement the MVC pattern in a Node.js application?,"In a typical Express application: Model: Mongoose or Sequelize schemas and models that interact with the database. View: Template files (e.g., EJS, Pug) that render the UI. Controller: Express route handlers that process incoming requests, interact with the model, and render the appropriate view."
,251. What is the publish-subscribe pattern?,"The publish-subscribe (pub/sub) pattern is a messaging pattern where senders of messages (publishers) do not program the messages to be sent directly to specific receivers (subscribers). Instead, messages are published to channels or topics, and subscribers receive messages for the topics they are subscribed to."
,252. How can you implement the publish-subscribe pattern in Node.js?,"You can implement it using Node.js's built-in EventEmitter class for in-process communication. For distributed systems, you would use a dedicated message broker like Redis (using its PUB/SUB feature), RabbitMQ, or Kafka."
,253. What is the factory pattern?,"The factory pattern is a creational design pattern that provides an interface for creating objects in a superclass, but allows subclasses to alter the type of objects that will be created. It's used when you want to create objects without exposing the creation logic to the client."
,254. What is the singleton pattern?,"The singleton pattern is a design pattern that restricts the instantiation of a class to a single object. This is useful when exactly one object is needed to coordinate actions across the system (e.g., a database connection object or a logger). Node.js modules are singletons by default due to the module caching mechanism."
,255. What is the middleware pattern?,The middleware pattern involves creating a pipeline of functions that process a request in a sequential order. Each middleware function can modify the request/response objects and either pass control to the next function or terminate the request. This pattern is central to frameworks like Express and Koa.
,256. What is dependency injection and how can it be used in Node.js?,"Dependency Injection (DI) is a design pattern where a component's dependencies (e.g., a database service or logger) are ""injected"" from an external source rather than being created by the component itself. This promotes loose coupling and makes components easier to test and reuse. In Node.js, you can implement DI manually by passing dependencies as function arguments or constructor parameters, or by using a DI container library."
,257. What are design patterns and why are they useful?,"Design patterns are reusable, general solutions to commonly occurring problems within a given context in software design. They are not finished designs that can be transformed directly into code but are templates for how to solve a problem. They are useful because they provide a common vocabulary and proven solutions for building robust and maintainable software."
XIV. V8 and Libuv,258. What is the role of Libuv in Node.js?,"Libuv is a C library that provides Node.js with access to the underlying operating system's asynchronous I/O capabilities. It is responsible for handling the event loop, the thread pool for offloading expensive tasks, and abstracting non-blocking I/O operations across different platforms (Windows, macOS, Linux)."
,259. How does Libuv handle asynchronous operations?,"Libuv uses the best available asynchronous mechanism on each operating system (e.g., epoll on Linux, kqueue on macOS, I/O completion ports on Windows). For operations that don't have a non-blocking equivalent in the OS (like fs operations or some crypto functions), it uses a thread pool to run them without blocking the main event loop."
,260. What is the thread pool in Libuv and what is it used for?,"The thread pool is a pool of a few threads (default is 4) managed by Libuv. It is used to run expensive operations that have no native asynchronous counterpart in the operating system, such as certain file system APIs (fs), DNS lookups (dns.lookup), and some crypto functions. This prevents these synchronous tasks from blocking the main event loop."
,261. How does V8 compile and execute JavaScript code?,"V8 compiles JavaScript directly to native machine code before executing it. It uses a JIT (Just-In-Time) compiler that includes multiple tiers. Code starts in an interpreter (Ignition), and if it becomes ""hot"" (frequently executed), it's sent to an optimizing compiler (TurboFan) to generate highly optimized machine code."
,262. What is the V8 heap and stack?,"The Stack is a region of memory used for static data, including function frames, primitive values (like numbers and booleans), and pointers to objects. It is managed by the OS and has a fixed size. The Heap is where V8 stores objects or dynamic data. It is a larger region of memory, and its management (allocation and garbage collection) is handled by V8."
,263. What are hidden classes in V8?,"Hidden classes (or shapes) are an internal mechanism V8 uses to optimize property access. When you create an object, V8 creates a hidden class. If you then create another object with the same properties in the same order, V8 will reuse that hidden class. This allows V8 to access properties using a fixed offset, which is much faster than dictionary lookups."
,264. What is inline caching in V8?,"Inline Caching (IC) is an optimization technique where V8 caches the results of recent method lookups. When a function is called, V8 makes an assumption about the type of object it will be called on (based on past executions) and ""inlines"" the lookup. If the assumption is correct, execution is very fast. If not, V8 de-optimizes and performs a full lookup."
,265. How does V8's garbage collector work (mentioning scavenge and mark-sweep)?,"V8's GC is generational. New objects are allocated in the ""young generation,"" which is small and frequently garbage collected using a fast ""scavenge"" algorithm (which copies surviving objects). Objects that survive long enough are promoted to the ""old generation,"" which is collected less frequently by a slower ""mark-sweep-compact"" algorithm that marks live objects, sweeps dead ones, and compacts memory to reduce fragmentation."
,266. How can you get low-level information about V8's performance?,"You can use the built-in v8 module in Node.js, which provides functions like v8.getHeapStatistics() and v8.getHeapSpaceStatistics() to get detailed information about memory usage. Additionally, command-line flags like --trace-gc or --trace-opt can provide verbose logs about garbage collection and JIT optimization events."
XV. Miscellaneous,267. What are WebSockets and how do they work?,"WebSockets provide a full-duplex communication channel over a single, long-lived TCP connection. They start with an HTTP ""Upgrade"" request from the client. Once the server agrees, the connection is upgraded from HTTP to the WebSocket protocol, allowing for persistent, low-latency, two-way communication between the client and server."
,"268. How can you implement WebSockets in a Node.js application (e.g., using ws or Socket.IO)?","You can use a library like ws, which provides a robust WebSocket implementation. Alternatively, Socket.IO is a higher-level library that provides WebSocket-like functionality with additional features like fallback to long-polling for older browsers, automatic reconnection, and broadcasting to rooms."
,269. What is HTTP/2 and what are its benefits over HTTP/1.1?,"HTTP/2 is a major revision of the HTTP protocol. Its key benefits include: Multiplexing (sending multiple requests and responses over a single TCP connection), Server Push (sending resources the client hasn't requested but will likely need), Header Compression (reducing overhead), and being a binary protocol (more efficient to parse)."
,270. How can you use HTTP/2 in a Node.js application?,"You can use Node.js's built-in http2 core module. It provides an API similar to the https module for creating secure HTTP/2 servers. You typically need to provide SSL/TLS certificates to use HTTP/2, as most browsers only support it over HTTPS."
,271. What is gRPC and how does it compare to REST and GraphQL?,"gRPC is a modern, high-performance open-source RPC (Remote Procedure Call) framework that can run in any environment. It uses Protocol Buffers (Protobufs) as its interface definition language and HTTP/2 for transport. Compared to REST/GraphQL, it is generally faster and more efficient, especially for internal microservice communication, but is less flexible for public-facing APIs due to its stricter contract-first approach."
,272. What are some popular logging libraries for Node.js?,"Popular logging libraries include Winston, Pino (known for very high performance), and Bunyan. These libraries provide features like different log levels, customizable output formats (like JSON), and transports for sending logs to files, databases, or external logging services."
,"273. What is the difference between console.log, console.error, and console.warn?","console.log() is used for general output of logging information. console.warn() is used for outputting warning messages. console.error() is used for outputting error messages. Functionally, they are similar, but warn and error write to the stderr stream, while log writes to stdout. Using them appropriately helps in filtering and redirecting log outputs."
,274. How can you debug a Node.js application?,"You can use the built-in Node.js Inspector by running your script with the --inspect or --inspect-brk flag. This allows you to connect a debugger, like Chrome DevTools or VS Code's debugger, to step through your code, inspect variables, and set breakpoints. console.log is also a common, simpler debugging technique."
,275. What is the Node.js Inspector?,"The Node.js Inspector is a debugging interface that allows you to connect debugging tools to your Node.js process. It uses the Chrome DevTools protocol, enabling you to use familiar tools like the Chrome browser's debugger to profile and debug your backend code."
,276. What is the role of a .nvmrc file?,"A .nvmrc file is used to specify the version of Node.js that a project is intended to be used with. When you are in the project's directory, you can run the command nvm use, and Node Version Manager (nvm) will automatically switch to the Node.js version specified in the .nvmrc file."
